University,Score,Country,League
California Institute of Technology (Caltech),100.000,USA,Diamond League
Harvard University,98.697,USA,Diamond League
Massachusetts Institute of Technology (MIT),98.634,USA,Diamond League
Stanford University,98.424,USA,Diamond League
Karolinska Institute,98.414,Sweden,Diamond League
ETH Zurich (Swiss Federal Institute of Technology),96.644,Switzerland,Diamond League
Columbia University,96.562,USA,Diamond League
Imperial College London,96.113,UK,Diamond League
University of Chicago,96.032,USA,Diamond League
Johns Hopkins University,95.620,USA,Diamond League
Peking University,95.409,China,Diamond League
University of Oxford,95.289,UK,Diamond League
University of Pennsylvania,94.745,USA,Diamond League
Ecole Polytechnique Federale de Lausanne,94.733,Switzerland,Diamond League
Princeton University,94.665,USA,Diamond League
University of Cambridge,94.554,UK,Diamond League
Yale University,94.395,USA,Diamond League
Northwestern University,94.183,USA,Diamond League
Washington University in St. Louis,93.522,USA,Diamond League
University College London,93.124,UK,Diamond League
Korea Advanced Institute of Science and Technology (KAIST),93.104,Republic of Korea,Diamond League
Case Western Reserve University,92.457,USA,Diamond League
Technical University of Denmark,91.867,Denmark,Diamond League
New York University,91.732,USA,Diamond League
Carnegie Mellon University,91.432,USA,Diamond League
Cornell University,91.314,USA,Diamond League
Scuola Normale Superiore di Pisa,90.791,Italy,Diamond League
Tsinghua University,90.555,China,Diamond League
University of Southern California,90.287,USA,Diamond League
Emory University,89.904,USA,Diamond League
University of Michigan,89.822,USA,Diamond League
Pohang University of Science and Technology (POSTECH),89.676,Republic of Korea,Diamond League
Boston University,89.667,USA,Diamond League
University of Edinburgh,89.438,UK,Diamond League
Vanderbilt University,88.681,USA,Diamond League
"University of California, Los Angeles",88.496,USA,Diamond League
Tohoku University,88.428,Japan,Diamond League
Rice University,88.387,USA,Diamond League
Zhejiang University,88.180,China,Diamond League
Brown University,88.072,USA,Diamond League
University of Lausanne,87.912,Switzerland,Diamond League
University of Science and Technology of China,87.909,China,Diamond League
Ludwig Maximilian University of Munich,87.822,Germany,Diamond League
Fudan University,87.750,China,Diamond League
University of Washington,87.495,USA,Diamond League
Tufts University,87.380,USA,Diamond League
University of Tokyo,87.291,Japan,Diamond League
University of Wisconsin - Madison,87.129,USA,Diamond League
McGill University,87.100,Canada,Diamond League
Indian Institute of Science,87.073,India,Diamond League
University of Hong Kong,87.037,Hong Kong,Diamond League
University of Helsinki,86.987,Finland,Diamond League
Technische Universitat Dresden (TU Dresden),86.803,Germany,Diamond League
University of Pittsburgh,86.707,USA,Diamond League
Nanyang Technological University,86.632,Singapore,Diamond League
University of Rochester,86.573,USA,Diamond League
Kyoto University,86.227,Japan,Diamond League
Wageningen University & Research Center,86.169,Netherlands,Diamond League
University of Bern,85.985,Switzerland,Diamond League
University of Geneva,85.941,Switzerland,Diamond League
Shanghai Jiao Tong University,85.829,China,Diamond League
Chinese University Hong Kong,85.541,Hong Kong,Diamond League
Dartmouth College,85.437,USA,Diamond League
Tokyo Institute of Technology,85.397,Japan,Diamond League
University of North Carolina,85.375,USA,Diamond League
Australian National University,85.333,Australia,Diamond League
University of Minnesota,85.140,USA,Diamond League
Lund University,85.123,Sweden,Diamond League
King`s College London,85.101,UK,Diamond League
Lomonosov Moscow State University,84.949,Russia,Diamond League
"University of California, Berkeley",84.941,USA,Diamond League
University of Southampton,84.687,UK,Diamond League
Royal Institute of Technology (KTH),84.670,Sweden,Diamond League
University of Manchester,84.523,UK,Diamond League
Utrecht University,84.519,Netherlands,Diamond League
University of Sao Paulo,84.305,Brazil,Diamond League
National University of Singapore,84.226,Singapore,Diamond League
"University of California, San Diego",84.174,USA,Diamond League
Georgetown University,84.102,USA,Diamond League
Technical University of Munich,84.094,Germany,Diamond League
University of Zurich,84.075,Switzerland,Diamond League
University of Illinois at Chicago,83.576,USA,Diamond League
RWTH Aachen University,83.476,Germany,Diamond League
"University of California, Davis",83.439,USA,Diamond League
University of Twente,82.960,Netherlands,Diamond League
Hokkaido University,82.866,Japan,Diamond League
Ohio State University,82.710,USA,Diamond League
National Yang Ming Chiao Tung University,82.706,Taiwan,Diamond League
Rutgers the State University of New Jersey,82.639,USA,Diamond League
University of Toronto,82.618,Canada,Diamond League
Sorbonne University,82.554,France,Diamond League
University of Gottingen,82.113,Germany,Diamond League
Purdue University,82.105,USA,Diamond League
University of Bristol,82.027,UK,Diamond League
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),81.954,Russia,Diamond League
Moscow Institute of Physics and Technology,81.941,Russia,Diamond League
"Ecole Normale Superieure, Lyon",81.929,France,Diamond League
University of Sydney,81.929,Australia,Diamond League
Tomsk State University,81.889,Russia,Diamond League
Aarhus University,81.726,Denmark,Golden League
Hebrew University of Jerusalem,81.685,Israel,Golden League
London School of Economics and Political Science,81.475,UK,Golden League
George Washington University,81.455,USA,Golden League
Karlsruhe Institute of Technology,81.449,Germany,Golden League
University of Sheffield,81.350,UK,Golden League
City University of Hong Kong,81.304,Hong Kong,Golden League
Medical University of Vienna,81.293,Austria,Golden League
University of British Columbia,81.195,Canada,Golden League
University of Queensland Australia,81.143,Australia,Golden League
Universite Paris-Sud,81.094,France,Golden League
Tongji University,80.973,China,Golden League
Chalmers University of Technology,80.971,Sweden,Golden League
University of Glasgow,80.918,UK,Golden League
Nanjing University,80.871,China,Golden League
University of Calgary,80.710,Canada,Golden League
Radboud University Nijmegen,80.680,Netherlands,Golden League
University of Notre Dame,80.620,USA,Golden League
University of Florida,80.550,USA,Golden League
Hong Kong University of Science and Technology,80.420,Hong Kong,Golden League
Harbin Institute of Technology,80.312,China,Golden League
Osaka University,80.306,Japan,Golden League
National Taiwan University,80.274,Taiwan,Golden League
IMT Atlantique,80.267,France,Golden League
Nagoya University,80.256,Japan,Golden League
Lancaster University,80.168,UK,Golden League
"University of Maryland, College Park",80.026,USA,Golden League
Queen Mary University of London,79.961,UK,Golden League
University of Gothenburg,79.791,Sweden,Golden League
Hanyang University,79.778,Republic of Korea,Golden League
University of Groningen,79.776,Netherlands,Golden League
Yonsei University,79.714,Republic of Korea,Golden League
Erasmus University Rotterdam,79.453,Netherlands,Golden League
University of St. Andrews,79.373,UK,Golden League
University of Miami,79.221,USA,Golden League
University of Utah,79.049,USA,Golden League
Georgia Institute of Technology,78.992,USA,Golden League
University of Kansas,78.873,USA,Golden League
Tokyo Medical and Dental University,78.630,Japan,Golden League
University of Tsukuba,78.594,Japan,Golden League
University of Wurzburg,78.468,Germany,Golden League
Michigan State University,78.465,USA,Golden League
University of New South Wales,78.440,Australia,Golden League
Technical University of Berlin,78.438,Germany,Golden League
University of Birmingham,78.419,UK,Golden League
University of Warwick,78.413,UK,Golden League
McMaster University,78.229,Canada,Golden League
University of Bergen,78.000,Norway,Golden League
State University of Campinas (Unicamp),77.926,Brazil,Golden League
University of Iowa,77.901,USA,Golden League
Pennsylvania State University,77.782,USA,Golden League
Monash University,77.558,Australia,Golden League
Northeastern University,77.528,USA,Golden League
Katholieke Universiteit Leuven (KU Leuven),77.269,Belgium,Golden League
Newcastle University,77.180,UK,Golden League
Tel Aviv University,77.178,Israel,Golden League
Gwangju Institute of Science and Technology,77.174,Republic of Korea,Golden League
University of Malaya,76.894,Malaysia,Golden League
Cardiff University,76.792,UK,Golden League
Rockefeller University,76.749,USA,Golden League
University of Arizona,76.724,USA,Golden League
"Indian Institute of Science Education and Research, Pune",76.684,India,Golden League
University of Adelaide,76.679,Australia,Golden League
Autonomous University of Barcelona,76.666,Spain,Golden League
Trinity College Dublin,76.519,Ireland,Golden League
Humboldt University of Berlin,76.484,Germany,Golden League
"State University of New York, Buffalo",76.456,USA,Golden League
Swedish University of Agricultural Sciences,76.430,Sweden,Golden League
Sungkyunkwan University,76.422,Republic of Korea,Golden League
Beijing Normal University,76.405,China,Golden League
University of Erlangen Nuremberg,76.330,Germany,Golden League
Tehran University of Medical Sciences,76.174,Iran,Golden League
University of Cape Town,76.132,South Africa,Golden League
University of Hawaii,75.983,USA,Golden League
University of Illinois at Urbana - Champaign,75.966,USA,Golden League
Durham University,75.951,UK,Golden League
"State University of New York, Stony Brook",75.908,USA,Golden League
Indiana University,75.837,USA,Golden League
North Carolina State University,75.826,USA,Golden League
University of York,75.816,UK,Golden League
Aalto University,75.792,Finland,Golden League
Universite Paris Cite,75.755,France,Golden League
Technion Israel Institute of Technology,75.747,Israel,Golden League
University of Reading,75.590,UK,Golden League
National Tsing Hua University,75.587,Taiwan,Golden League
University of Freiburg,75.525,Germany,Golden League
Wake Forest University,75.206,USA,Golden League
Vrije Universiteit Brussels (VUB),75.192,Belgium,Golden League
Drexel University,75.166,USA,Golden League
A.C.Camargo Cancer Center,75.103,Brazil,Golden League
Ghent University,74.995,Belgium,Golden League
Texas A&M University,74.915,USA,Golden League
Wuhan University,74.893,China,Golden League
University Catholique de Louvain,74.835,Belgium,Golden League
Xi`an Jiaotong University,74.826,China,Golden League
University of Western Australia,74.771,Australia,Silver League
Technical University of Darmstadt,74.762,Germany,Silver League
University of Liverpool,74.529,UK,Silver League
University of Montpellier,74.432,France,Silver League
University of Colorado,74.413,USA,Silver League
"Indian Institute of Technology, Kharagpur",74.399,India,Silver League
Universite de Paris,74.395,France,Silver League
Weizmann Institute of Science,74.365,Israel,Silver League
"University of California, Irvine",74.182,USA,Silver League
Beihang University,74.138,China,Silver League
University of Aberdeen,74.031,UK,Silver League
Western University,73.767,Canada,Silver League
Universite de Montreal,73.742,Canada,Silver League
University of Exeter,73.676,UK,Silver League
Huazhong University of Science and Technology,73.586,China,Silver League
Laval University,73.577,Canada,Silver League
University of Bonn,73.565,Germany,Silver League
Southeast University,73.495,China,Silver League
Hong Kong Polytechnic University,73.378,Hong Kong,Silver League
University of Ottawa,73.328,Canada,Silver League
University of Alaska,73.230,USA,Silver League
University of Auckland,73.184,New Zealand,Silver League
China Agricultural University,73.167,China,Silver League
University of Konstanz,73.087,Germany,Silver League
University of Ulm,72.901,Germany,Silver League
University of Barcelona,72.885,Spain,Silver League
"Indian Institute of Technology, Madras",72.651,India,Silver League
University of Nova Gorica,72.501,Slovenia,Silver League
William & Mary,72.447,USA,Silver League
University of Padua,72.422,Italy,Silver League
Queen`s University Belfast,72.207,UK,Silver League
"University of California, Santa Barbara",72.203,USA,Silver League
Temple University,72.122,USA,Silver League
Universite Grenoble Alpes (UGA),72.061,France,Silver League
University of Sussex,71.890,UK,Silver League
Aix Marseille University,71.745,France,Silver League
Beijing Institute of Technology,71.737,China,Silver League
Tomsk Polytechnic University,71.570,Russia,Silver League
University of Missouri,71.507,USA,Silver League
University of Connecticut,71.422,USA,Silver League
Aalborg University,71.406,Denmark,Silver League
Kyung Hee University,71.375,Republic of Korea,Silver League
Tianjin University,71.368,China,Silver League
University of Tennessee Knoxville,71.358,USA,Silver League
University of Witwatersrand,71.353,South Africa,Silver League
University of Georgia,71.315,USA,Silver League
SOAS University of London,71.298,UK,Silver League
University of Navarra,71.136,Spain,Silver League
Universiti Putra Malaysia,71.112,Malaysia,Silver League
Kazan Federal University,71.067,Russia,Silver League
University of Oklahoma,71.058,USA,Silver League
Hiroshima University,71.056,Japan,Silver League
King Abdulaziz University,71.021,Saudi Arabia,Silver League
Charles University in Prague,71.004,Czech Republic,Silver League
University of Florence,70.971,Italy,Silver League
University of Tartu,70.951,Estonia,Silver League
University of Antwerp,70.842,Belgium,Silver League
Kobe University,70.814,Japan,Silver League
Semmelweis University,70.691,Hungary,Silver League
USI - Universita della Svizzera italiana,70.669,Switzerland,Silver League
Syracuse University,70.470,USA,Silver League
"Indian Institute of Technology, Delhi",70.441,India,Silver League
Universiti Kebangsaan Malaysia,70.367,Malaysia,Silver League
Tulane University,70.344,USA,Silver League
University of Bath,70.342,UK,Silver League
University College Dublin,70.215,Ireland,Silver League
Shandong University,70.202,China,Silver League
"Royal Holloway, University of London",70.159,UK,Silver League
University of Strathclyde,70.072,UK,Silver League
Bauman Moscow State Technical University,70.021,Russia,Silver League
Norwegian University of Science and Technology,69.989,Norway,Silver League
Umea University,69.930,Sweden,Silver League
National University of Science and Technology MISiS,69.706,Russia,Silver League
Rensselaer Polytechnic Institute,69.706,USA,Silver League
Loughborough University,69.660,UK,Silver League
Nankai University,69.653,China,Silver League
University of Wollongong,69.648,Australia,Silver League
Tilburg University,69.596,Netherlands,Silver League
University of Saskatchewan,69.580,Canada,Silver League
University of Nebraska Medical Center,69.529,USA,Silver League
Universiti Teknologi Malaysia,69.496,Malaysia,Silver League
Boston College,69.341,USA,Silver League
University of New Mexico,69.341,USA,Silver League
Curtin University,69.304,Australia,Silver League
South China University of Technology,69.254,China,Silver League
Washington State University,69.212,USA,Silver League
Sapienza University of Rome,69.208,Italy,Silver League
East China Normal University,69.080,China,Silver League
University of Surrey,69.080,UK,Silver League
University of Trieste,69.076,Italy,Silver League
St George`s University of London,69.072,UK,Silver League
University of Montana,69.067,USA,Silver League
Colorado State University,69.017,USA,Silver League
ITMO University,68.997,Russia,Silver League
Colorado School of Mines,68.973,USA,Silver League
Virginia Polytechnic Institute and State University,68.921,USA,Silver League
Bielefeld University,68.828,Germany,Silver League
Macquarie University,68.822,Australia,Silver League
"University of California, Riverside",68.821,USA,Silver League
